edge_id,source,relation,target,confidence,source_file,source_chunk,status
E001,GE 비즈니스 방법론,includes,세일즈 프로세스 13가지 성공법칙,0.95,서적 4 - GE의 세일즈 노트.pdf,F002-C001,active
E002,GE 비즈니스 방법론,includes,변화리더십 101,0.95,서적 5 - GE의  변화리더십 101.pdf,F003-C001,active
E003,GE 비즈니스 방법론,includes,4E + V,0.95,서적8-GE는 어떻게 수퍼급 인재를 만드는가.pdf,F004-C001,active
E004,잭웰치,created_by,변화리더십 101,0.98,서적 5 - GE의  변화리더십 101.pdf,F003-C002,active
E005,잭웰치,leads,GE,0.98,multiple,multiple,active
E006,GE,produces,GE 비즈니스 방법론,0.95,multiple,multiple,active
E007,심재우,worked_at,GE,0.98,multiple,multiple,active
E008,심재우,created,GE 비즈니스 방법론,0.92,multiple,multiple,active
E009,심재우,member_of,BBC,0.95,multiple,multiple,active
E010,세일즈 프로세스 13가지 성공법칙,includes,Boss Managing,0.92,서적 4 - GE의 세일즈 노트.pdf,F002-C003,active
E011,세일즈 프로세스 13가지 성공법칙,includes,Customer Managing,0.92,서적 4 - GE의 세일즈 노트.pdf,F002-C003,active
E012,세일즈 프로세스 13가지 성공법칙,includes,AIDAS의 법칙,0.90,서적 4 - GE의 세일즈 노트.pdf,F002-C004,active
E013,세일즈 프로세스 13가지 성공법칙,includes,10 Steps of Sales Process,0.90,서적 4 - GE의 세일즈 노트.pdf,F002-C004,active
E014,변화리더십 101,includes,위크아웃,0.93,서적 5 - GE의  변화리더십 101.pdf,F003-C003,active
E015,변화리더십 101,includes,액션러닝,0.93,서적 5 - GE의  변화리더십 101.pdf,F003-C003,active
E016,변화리더십 101,includes,변화리더십 파이프라인,0.92,서적 5 - GE의  변화리더십 101.pdf,F003-C004,active
E017,변화리더십 101,includes,9가지 핵심 리더십,0.95,서적 5 - GE의  변화리더십 101.pdf,F003-C005,active
E018,4E + V,part_of,Energy,0.98,서적8-GE는 어떻게 수퍼급 인재를 만드는가.pdf,F004-C002,active
E019,4E + V,part_of,Energize,0.98,서적8-GE는 어떻게 수퍼급 인재를 만드는가.pdf,F004-C002,active
E020,4E + V,part_of,Edge,0.98,서적8-GE는 어떻게 수퍼급 인재를 만드는가.pdf,F004-C002,active
E021,4E + V,part_of,Execute,0.98,서적8-GE는 어떻게 수퍼급 인재를 만드는가.pdf,F004-C002,active
E022,4E + V,part_of,Values,0.98,서적8-GE는 어떻게 수퍼급 인재를 만드는가.pdf,F004-C002,active
E023,GE,uses,Executive Program,0.93,서적8-GE는 어떻게 수퍼급 인재를 만드는가.pdf,F004-C003,active
E024,GE,uses,Advanced Manager Program,0.93,서적8-GE는 어떻게 수퍼급 인재를 만드는가.pdf,F004-C003,active
